一	〔一・Fiƒ〕
𭚼	〔弓口口山・VLLJ・CJK-F〕
𭚽	〔弓{向框同向}土十・VRHD・CJK-F〕
𭚾	〔丷弓丨{マ同又}・UVNB・CJK-F〕
𭚿	〔弓䒑冂刂・VUKM・CJK-F〕
𭛀	〔弓尸至・VBHk・CJK-F〕
𭛁	〔〢䒑弓夂・NUVE・CJK-F〕
𭛂	〔弓十冖弓・VDYV・CJK-F〕
𭛃	〔弓䒑八皿・VUTM・CJK-F〕
𭛄	〔弓{虎头同虎}又月・VMBW・CJK-F〕
𭛅	〔弓丅冂乂・VAKW・CJK-F〕
𭛆	〔弓夫夫日・VGGJ・CJK-F〕
𭛇	〔弓二弓用・VSVT・CJK-F〕
𭛈	〔弓亠囗一・VONF・CJK-F〕
𭛉	〔弓䒑豕辶・VUDP・CJK-F〕
𭛊	〔丷弓丨豕・UVND・CJK-F〕
𭛋	〔貝貝弓・MMVg・CJK-F〕
𭛌	〔弓二三田・VSFJ・CJK-F〕
𭛍	〔彐卯・XTa・CJK-F〕
𭛎	〔彐尸匕・XBRi・CJK-F〕
𭛏	〔{互中同母}一口䒑・BFLU・CJK-F〕
𭛐	〔彐亠人十・XOTD・CJK-F〕
𭛑	〔{互中同母}一田{介下同八}・BFJT・CJK-F〕
𭛒	〔彐冖車・XYGc・CJK-F〕
𭛓	〔用彡・TTin・CJK-F〕
𭛔	〔厂白小彡・SEMT・CJK-F〕
𭛕	〔彡丨乀〢・TNON・CJK-F〕
𭛖	〔彡丨丨〢・TNNN・CJK-F〕
𭛗	〔彡彡木木・TTFF・CJK-F〕
𭛘	〔巛日木彡・VJFT・CJK-F〕
𭛙	〔艹日木彡・SJFT・CJK-F〕
𭛚	〔{虎头同虎}〢䒑彡・MNUT・CJK-F〕
𭛛	〔立丿彡日・IQTJ・CJK-F〕
𭛜	〔彳千・RWqc・CJK-F〕
𭛝	〔彳{顺折同乙}丄・RVKs・CJK-F〕
𭛞	〔彳予・RCuc・CJK-F〕
𭛟	〔彳土厶・RHVv・CJK-F〕
𭛠	〔彳口又・RLBu・CJK-F〕
𭛡	〔彳冂口・RKLv・CJK-F〕
𭛢	〔彳囗人・RNTe・CJK-F〕
𭛣	〔彳䒑乂・RUWa・CJK-F〕
𭛤	〔彳刀口・RBLv・CJK-F〕
𭛥	〔彳力口・RXLv・CJK-F〕
𭛦	〔彳丿之・RQPc・CJK-F〕
𭛧	〔彳丰八・RDTb・CJK-F〕
𭛨	〔彳二欠・RSEi・CJK-F〕
𭛩	〔彳干丷一・RHUF・CJK-F〕
𭛪	〔彳厂目・RSMu・CJK-F〕
𭛫	〔彳十冖子・RDYV・CJK-F〕
𭛬	〔彳足・RNvc・CJK-F〕
𭛭	〔彳丿糸・RQBs・CJK-F〕
𭛮	〔彳宀之・ROPc・CJK-F〕
𭛯	〔彳龶月・RHWv・CJK-F〕
𭛰	〔彳土厶亍・RHVA・CJK-F〕
𭛱	〔彳{丆同石}囗口・RDNL・CJK-F〕
𭛲	〔彳日{𠂆同斤}又・RJEB・CJK-F〕
𭛳	〔彳爪夫・REGu・CJK-F〕
𭛴	〔彳人一冊・RTFN・CJK-F〕
𭛵	〔彳亠口小・ROLM・CJK-F〕
𭛶	〔彳又又又・RBBB・CJK-F〕
𭛷	〔彳一口田・RFLJ・CJK-F〕
𭛸	〔彳丰刀大・RDBG・CJK-F〕
𭛹	〔彳丨夂朩・RNEF・CJK-F〕
𭛺	〔彳{虎头同虎}巾・RMMv・CJK-F〕
𭛻	〔彳禾火・RRUv・CJK-F〕
𭛼	〔彳䒑自・RUTk・CJK-F〕
𭛽	〔彳䒑八皿・RUTM・CJK-F〕
𭛾	〔彳一水夂・RFKE・CJK-F〕
𭛿	〔彳{丿一同竹}母夂・RQBE・CJK-F〕
𭜀	〔彳丿車力・RQGX・CJK-F〕
𭜁	〔彳龷日夂・RSJE・CJK-F〕
𭜂	〔彳尚夂・RNEh・CJK-F〕
𭜃	〔彳火火力・RUUX・CJK-F〕
𭜄	〔彳{登上同又}弓殳・RBVQ・CJK-F〕
𭜅	〔彳人人丨・RTTN・CJK-F〕
𭜆	〔彳艹世木・RSHF・CJK-F〕
𭜇	〔彳{丿一同竹}一口・RQFL・CJK-F〕
𭜈	〔彳立月夂・RIWE・CJK-F〕
𭜉	〔彳广龷八・RUST・CJK-F〕
𭜊	〔彳⺧口貝・RWLM・CJK-F〕
𭜋	〔一丂心・FSYn・CJK-F〕
𭜌	〔忄一{⼓同月}・YFWv・CJK-F〕
𭜍	〔丿厶心・QVYn・CJK-F〕
𭜎	〔{逆折同乚}二心・XSYn・CJK-F〕
𭜏	〔忄{右上}匕・YSRi・CJK-F〕
𭜐	〔忄一{五下同韋}・YFCi・CJK-F〕
𭜑	〔龷心・SYno・CJK-F〕
𭜒	〔忄厂{顺折同乙}・YSVi・CJK-F〕
𭜓	〔一口心・FLYn・CJK-F〕
𭜔	〔忄厂人・YSTe・CJK-F〕
𭜕	〔忄一卄・YFSo・CJK-F〕
𭜖	〔忄丿{逆折同乚}丿・YQXQ・CJK-F〕
𭜗	〔忄{⺆同月}亠・YWOv・CJK-F〕
𭜘	〔一厶心・FVYn・CJK-F〕
𭜙	〔土八小丶・HTMO・CJK-F〕
𭜚	〔忄弋二・YGSe・CJK-F〕
𭜛	〔忄皿・YMnn・CJK-F〕
𭜜	〔忄目・YMun・CJK-F〕
𭜝	〔〢䒑心・NUYn・CJK-F〕
𭜞	〔忄千又・YWBu・CJK-F〕
𭜟	〔忄矢・YQin・CJK-F〕
𭜠	〔忄亻大・YEGd・CJK-F〕
𭜡	〔忄广厶・YUVv・CJK-F〕
𭜢	〔忄厶卄・YVSo・CJK-F〕
𭜣	〔{丿一同竹}彐心・QXYn・CJK-F〕
𭜤	〔{丿一同竹}{コ同又}丨心・QBNY・CJK-F〕
𭜥	〔夕匕心・RRYn・CJK-F〕
𭜦	〔二口心・SLYn・CJK-F〕
𭜧	〔丷土心・UHYn・CJK-F〕
𭜨	〔歹匕心・DRYn・CJK-F〕
𭜩	〔二日心・SJYn・CJK-F〕
𭜪	〔囗夂心・NEYn・CJK-F〕
𭜫	〔虫心・KYn・CJK-F〕
𭜬	〔忄早・YJon・CJK-F〕
𭜭	〔忄{⼓同月}文・YWPw・CJK-F〕
𭜮	〔丷夫小丶・UGMO・CJK-F〕
𭜯	〔二水心・SKYn・CJK-F〕
𭜰	〔宀夂心・OEYn・CJK-F〕
𭜱	〔忄{逆折同乚}矢・YXQi・CJK-F〕
𭜲	〔忄十冖力・YDYX・CJK-F〕
𭜳	〔一丨卜心・FNMY・CJK-F〕
𭜴	〔忄刀刀刀・YBBB・CJK-F〕
𭜵	〔彐彐心・XXYn・CJK-F〕
𭜶	〔土口一心・HLFY・CJK-F〕
𭜷	〔木巳心・FCYn・CJK-F〕
𭜸	〔忄耂子・YHVk・CJK-F〕
𭜹	〔工{⼓同月}{两撇同彡}心・FWTY・CJK-F〕
𭜺	〔牙阝心・HCYn・CJK-F〕
𭜻	〔忄扌斤・YAEj・CJK-F〕
𭜼	〔忄貝・YMbn・CJK-F〕
𭜽	〔忄田力・YJXl・CJK-F〕
𭜾	〔忄亻工八・YEFT・CJK-F〕
𭜿	〔忄白一{逆折同乚}・YEFX・CJK-F〕
𭝀	〔忄{卬左同卯}七巾・YTAM・CJK-F〕
𭝁	〔彳方心・ROYn・CJK-F〕
𭝂	〔忄爪子・YEVk・CJK-F〕
𭝃	〔忄冖八干・YYTH・CJK-F〕
𭝄	〔忄穴九・YPYj・CJK-F〕
𭝅	〔忄辛・YOxn・CJK-F〕
𭝆	〔女欠心・CEYn・CJK-F〕
𭝇	〔女八刀心・CTBY・CJK-F〕
𭝈	〔忄彐丿口・YXQL・CJK-F〕
𭝉	〔纟七凵心・VAXY・CJK-F〕
𭝊	〔彐火心・XUYn・CJK-F〕
𭝋	〔忄彐火・YXUv・CJK-F〕
𭝌	〔夫人丶心・GTOY・CJK-F〕
𭝍	〔大示心・GHYn・CJK-F〕
𭝎	〔忄大示・YGHs・CJK-F〕
𭝏	〔忄一巾入・YFMR・CJK-F〕
𭝐	〔忄匚舟・YGQo・CJK-F〕
𭝑	〔忄日木・YJFv・CJK-F〕
𭝒	〔尚心・NYns・CJK-F〕
𭝓	〔日{⼓同月}{两撇同彡}心・JWTY・CJK-F〕
𭝔	〔忄且也・YMCy・CJK-F〕
𭝕	〔忄合卩・YYXj・CJK-F〕
𭝖	〔彳弓{介下同八}心・RVTY・CJK-F〕
𭝗	〔忄八刀心・YTBY・CJK-F〕
𭝘	〔衤刀心・PBYn・CJK-F〕
𭝙	〔氵皮心・IVYn・CJK-F〕
𭝚	〔忄文{介下同八}二・YPTS・CJK-F〕
𭝛	〔宀示心・OHYn・CJK-F〕
𭝜	〔宀丷キ心・OUAY・CJK-F〕
𭝝	〔{顺折同乙}一口心・VFLY・CJK-F〕
𭝞	〔忄{コ同又}人戈・YBTG・CJK-F〕
𭝟	〔忄尸古・YBDg・CJK-F〕
𭝠	〔來小丶・DMOd・CJK-F〕
𭝡	〔厂日子心・SJVY・CJK-F〕
𭝢	〔丰丿丰心・DQDY・CJK-F〕
𭝣	〔忄{右上}月阝・YSWC・CJK-F〕
𭝤	〔耳阝心・ACYn・CJK-F〕
𭝥	〔木口刂心・FLMY・CJK-F〕
𭝦	〔木丶王心・FOGY・CJK-F〕
𭝧	〔忄土二日・YHSJ・CJK-F〕
𭝨	〔臣巳心・SCYn・CJK-F〕
𭝩	〔忄艹古・YSDg・CJK-F〕
𭝪	〔忄艹夕{顺折同乙}・YSRV・CJK-F〕
𭝫	〔口艮心・LVYn・CJK-F〕
𭝬	〔忄{虎头同虎}匚一・YMGF・CJK-F〕
𭝭	〔忄夕{顺折同乙}心・YRVY・CJK-F〕
𭝮	〔彳艮心・RVYn・CJK-F〕
𭝯	〔人丶{顺折同乙}一・TOVF・CJK-F〕
𭝰	〔忄丿冂匕・YQKR・CJK-F〕
𭝱	〔亻口木心・ELFY・CJK-F〕
𭝲	〔亻丨米心・ENPY・CJK-F〕
𭝳	〔忄乃乂皿・YVWM・CJK-F〕
𭝴	〔氵舌心・IRYn・CJK-F〕
𭝵	〔亠口冖心・OLYY・CJK-F〕
𭝶	〔亻夂火心・EEUY・CJK-F〕
𭝷	〔忄大日小・YGJM・CJK-F〕
𭝸	〔{丆同石}日殳心・DJQY・CJK-F〕
𭝹	〔忄尢月寸・YDWA・CJK-F〕
𭝺	〔忄𡗗示・YGHs・CJK-F〕
𭝻	〔忄十冖糸・YDYB・CJK-F〕
𭝼	〔忄而心・YSYn・CJK-F〕
𭝽	〔忄囗口辶・YNLP・CJK-F〕
𭝾	〔囗人皿心・NTMY・CJK-F〕
𭝿	〔忄日土寸・YJHA・CJK-F〕
𭞀	〔爪艮心・EVYn・CJK-F〕
𭞁	〔彳䒑龰心・RUNY・CJK-F〕
𭞂	〔亻丨夂心・ENEY・CJK-F〕
𭞃	〔彳人一心・RTFY・CJK-F〕
𭞄	〔忄爪冖又・YEYB・CJK-F〕
𭞅	〔忄䒑大辶・YUGP・CJK-F〕
𭞆	〔忄亠八夂・YOTE・CJK-F〕
𭞇	〔亠口冖丿・OLYQ・CJK-F〕
𭞈	〔韋心・CYni・CJK-F〕
𭞉	〔女九丶心・CYOY・CJK-F〕
𭞊	〔尸一火心・BFUY・CJK-F〕
𭞋	〔忄覀心・YDYn・CJK-F〕
𭞌	〔冖尸罒心・YBMY・CJK-F〕
𭞍	〔卄二舌心・SSRY・CJK-F〕
𭞎	〔忄一弋貝・YFGM・CJK-F〕
𭞏	〔臣厶口心・SVLY・CJK-F〕
𭞐	〔丅彐丿心・AXQY・CJK-F〕
𭞑	〔甫夂心・FEYn・CJK-F〕
𭞒	〔忄厂户冊・YSIN・CJK-F〕
𭞓	〔扌隹心・AWYn・CJK-F〕
𭞔	〔丌䒑心凵・AUYX・CJK-F〕
𭞕	〔日且力心・JMXY・CJK-F〕
𭞖	〔忄艹彐卩・YSXX・CJK-F〕
𭞗	〔上一大心・KFGY・CJK-F〕
𭞘	〔日日大心・JJGY・CJK-F〕
𭞙	〔忄日皿力・YJMX・CJK-F〕
𭞚	〔忄{虎头同虎}夂几・YMEQ・CJK-F〕
𭞛	〔忄日且力・YJMX・CJK-F〕
𭞜	〔忄小丿小・YMQM・CJK-F〕
𭞝	〔亻丨夂心・ENEY・CJK-F〕
𭞞	〔忄{丿一同竹}一隹・YQFW・CJK-F〕
𭞟	〔忄竹弓丿・YQVQ・CJK-F〕
𭞠	〔{丿一同竹}母殳心・QBQY・CJK-F〕
𭞡	〔忄亠丷口・YOUL・CJK-F〕
𭞢	〔二人一丶・STFO・CJK-F〕
𭞣	〔忄亠丷古・YOUD・CJK-F〕
𭞤	〔矛夂力心・CEXY・CJK-F〕
𭞥	〔忄丅彐丶・YAXO・CJK-F〕
𭞦	〔一日口心・FJLY・CJK-F〕
𭞧	〔木冂木心・FKFY・CJK-F〕
𭞨	〔厂䒑{屮同凵}心・SUXY・CJK-F〕
𭞩	〔忄卄口月・YSLW・CJK-F〕
𭞪	〔忄一{亞下}心・YFJY・CJK-F〕
𭞫	〔土䒑十心・HUDY・CJK-F〕
𭞬	〔忄一{亞下}田・YFJJ・CJK-F〕
𭞭	〔忄厂一寸・YSFA・CJK-F〕
𭞮	〔日耳又心・JABY・CJK-F〕
𭞯	〔忄足匚{コ同又}・YNGB・CJK-F〕
𭞰	〔忄艹亡目・YSUM・CJK-F〕
𭞱	〔艹{右上}口也・SSLC・CJK-F〕
𭞲	〔尚殳心・NQYn・CJK-F〕
𭞳	〔日亠口心・JOLY・CJK-F〕
𭞴	〔忄〢䒑夫・YNUG・CJK-F〕
𭞵	〔忄丷酉寸・YUGA・CJK-F〕
𭞶	〔忄人丶刂・YTOM・CJK-F〕
𭞷	〔忄隹辶・YWPo・CJK-F〕
𭞸	〔氵亠丷心・IOUY・CJK-F〕
𭞹	〔忄龷隹・YSWi・CJK-F〕
𭞺	〔忄臣{顺折同乙}灬・YSVU・CJK-F〕
𭞻	〔忄{右上}工辶・YSFP・CJK-F〕
𭞼	〔忄覀貝・YDMb・CJK-F〕
𭞽	〔忄日罒心・YJMY・CJK-F〕
𭞾	〔忄〢丷豕・YNUD・CJK-F〕
𭞿	〔{⼓同月}{两撇同彡}心夂・WTYE・CJK-F〕
𭟀	〔米卜口丶・PMLO・CJK-F〕
𭟁	〔忄文冖見・YPYM・CJK-F〕
𭟂	〔丷酉犬心・UGSY・CJK-F〕
𭟃	〔忄宀几隹・YOQW・CJK-F〕
𭟄	〔幺言幺心・VUVY・CJK-F〕
𭟅	〔忄覀示寸・YDHA・CJK-F〕
𭟆	〔忄{冓上同艹}冂目・YSKM・CJK-F〕
𭟇	〔忄艹人口・YSTL・CJK-F〕
𭟈	〔忄艹冂丶・YSKO・CJK-F〕
𭟉	〔忄門夂口・YKEL・CJK-F〕
𭟊	〔忄户巛巴・YIVC・CJK-F〕
𭟋	〔宀心皿心・OYMY・CJK-F〕
𭟌	〔氵車斤心・IGEY・CJK-F〕
𭟍	〔忄戊上心・YDKY・CJK-F〕
𭟎	〔忄夫夫貝・YGGM・CJK-F〕
𭟏	〔臣{丆同石}貝心・SDMY・CJK-F〕
𭟐	〔忄士罒貝・YHMM・CJK-F〕
𭟑	〔忄覀龵目・YDTM・CJK-F〕
𭟒	〔忄艹日日・YSJJ・CJK-F〕
𭟓	〔忄黑土・YNHv・CJK-F〕
𭟔	〔{虎头同虎}亻工心・MEFY・CJK-F〕
𭟕	〔氵{登上同又}一心・IBFY・CJK-F〕
𭟖	〔忄亠口豕・YOLD・CJK-F〕
𭟗	〔忄亠丷夂・YOUE・CJK-F〕
𭟘	〔忄雨龵月・YDTW・CJK-F〕
𭟙	〔忄雨隹・YDWi・CJK-F〕
𭟚	〔尚黑心・NNYn・CJK-F〕
𭟛	〔甲二立心・KSIY・CJK-F〕
𭟜	〔田心口心・JYLY・CJK-F〕
𭟝	〔心龶月{顺折同乙}・YHWV・CJK-F〕
𭟞	〔忄立口心・YILY・CJK-F〕
𭟟	〔罒土䒑心・MHUY・CJK-F〕
𭟠	〔僉夂心・REYn・CJK-F〕
𭟡	〔火口口心・ULLY・CJK-F〕
𭟢	〔疒日月心・PJWY・CJK-F〕
𭟣	〔忄戊上足・YDKN・CJK-F〕
𭟤	〔忄艹罒目・YSMM・CJK-F〕
𭟥	〔忄門山䒑・YKJU・CJK-F〕
𭟦	〔亠人人心・OTTY・CJK-F〕
𭟧	〔忄覀革月・YDGW・CJK-F〕
𭟨	〔忄目目亍・YMMA・CJK-F〕
𭟩	〔忄隹隹{マ同又}・YWWB・CJK-F〕
𭟪	〔立早匕心・IJRY・CJK-F〕
𭟫	〔忄{專上同車}寸鳥・YGAR・CJK-F〕
𭟬	〔忄竹立{龍右同卜}・YQIM・CJK-F〕
𭟭	〔忄艹罒䒑・YSMU・CJK-F〕
𭟮	〔戈一・GFig・CJK-F〕
𭟯	〔土戈・HGg・CJK-F〕
𭟰	〔戈止・GNig・CJK-F〕
𭟱	〔丷厂戈・USGg・CJK-F〕
𭟲	〔人人戈・TTGg・CJK-F〕
𭟳	〔冂口戈・KLGg・CJK-F〕
𭟴	〔戈上日・GKJv・CJK-F〕
𭟵	〔戈冖用・GYTn・CJK-F〕
𭟶	〔{逆折同乚}口月戈・XLWG・CJK-F〕
𭟷	〔{登上同又}示戈・BHGg・CJK-F〕
𭟸	〔丂一小人・SFMT・CJK-F〕
𭟹	〔二丷戊{コ同又}・SUDB・CJK-F〕
𭟺	〔戈一幺日・GFVJ・CJK-F〕
𭟻	〔戈口一王・GLFG・CJK-F〕
𭟼	〔{虎头同虎}亻工戈・MEFG・CJK-F〕
𭟽	〔羊䒑口戈・UULG・CJK-F〕
𭟾	〔丅彐丿戈・AXQG・CJK-F〕
𭟿	〔{戶同户}{顺折同乙}・IVih・CJK-F〕
𭠀	〔{戶同户}工・IFoh・CJK-F〕
𭠁	〔户亠八・IOTb・CJK-F〕
𭠂	〔{戶同户}{顺折同乙}口・IVLv・CJK-F〕
𭠃	〔{戶同户}{右上}又丶・ISBO・CJK-F〕
𭠄	〔{戶同户}古・IDgh・CJK-F〕
𭠅	〔户千又・IWBu・CJK-F〕
𭠆	〔{戶同户}{⼓同月}巳・IWCk・CJK-F〕
𭠇	〔{戶同户}口田・ILJt・CJK-F〕
𭠈	〔户方方・IOOg・CJK-F〕
𭠉	〔{戶同户}人丶山・ITOJ・CJK-F〕
𭠊	〔户羽皮・IXVp・CJK-F〕
𭠋	〔户羽乂朩・IXWF・CJK-F〕
𭠌	〔户冊覀辶・INDP・CJK-F〕
𭠍	〔七丿・AQpi・CJK-F〕
𭠎	〔扌又・ABu・CJK-F〕
𭠏	〔手下・TAku・CJK-F〕
𭠐	〔扌{丩同凵}{逆折同乚}・AXXi・CJK-F〕
𭠑	〔扌大一・AGFi・CJK-F〕
𭠒	〔扌丿{逆折同乚}丿・AQXQ・CJK-F〕
𭠓	〔手八刀・TTBd・CJK-F〕
𭠔	〔手人丶{顺折同乙}・TTOV・CJK-F〕
𭠕	〔手{丿一同竹}十・TQDh・CJK-F〕
𭠖	〔手丑・TBcu・CJK-F〕
𭠗	〔扌{右上}口・ASLv・CJK-F〕
𭠘	〔扌口又・ALBu・CJK-F〕
𭠙	〔扌〢䒑・ANUh・CJK-F〕
𭠚	〔扌殳{顺折同乙}・AQVi・CJK-F〕
𭠛	〔扌人干・ATHg・CJK-F〕
𭠜	〔扌人土・ATHv・CJK-F〕
𭠝	〔扌{⼓同月}人{逆折同乚}・AWTX・CJK-F〕
𭠞	〔手幺力・TVXl・CJK-F〕
𭠟	〔扌{顺折同乙}一口・AVFL・CJK-F〕
𭠠	〔一キ一丶・FAFO・CJK-F〕
𭠡	〔扌丷口・AULv・CJK-F〕
𭠢	〔扌丁二厶・AASV・CJK-F〕
𭠣	〔扌王冂・AGKg・CJK-F〕
𭠤	〔扌戈刂・AGMd・CJK-F〕
𭠥	〔扌{右上}月・ASWv・CJK-F〕
𭠦	〔扌大干・AGHg・CJK-F〕
𭠧	〔歹刂手・DMTu・CJK-F〕
𭠨	〔扌大土・AGHv・CJK-F〕
𭠩	〔扌一卄刂・AFSM・CJK-F〕
𭠪	〔扌自・ATk・CJK-F〕
𭠫	〔手合・TYeu・CJK-F〕
𭠬	〔扌夕口・ARLv・CJK-F〕
𭠭	〔扌{丿一同竹}冂一・AQKF・CJK-F〕
𭠮	〔扌乂{右上}又・AWSB・CJK-F〕
𭠯	〔扌阝寸・ACAc・CJK-F〕
𭠰	〔手{丩同凵}夂・TXEh・CJK-F〕
𭠱	〔扌刀刀刀・ABBB・CJK-F〕
𭠲	〔手纟工・TVFo・CJK-F〕
𭠳	〔手古儿・TDQr・CJK-F〕
𭠴	〔手王卄・TGSo・CJK-F〕
𭠵	〔扌戈幺・AGVo・CJK-F〕
𭠶	〔扌士心・AHYn・CJK-F〕
𭠷	〔扌匕匕土・ARRH・CJK-F〕
𭠸	〔手丰寸・TDAc・CJK-F〕
𭠹	〔扌一巾廴・AFMX・CJK-F〕
𭠺	〔手見・TMxu・CJK-F〕
𭠻	〔手口力刂・TLXM・CJK-F〕
𭠼	〔扌山巴・AJCb・CJK-F〕
𭠽	〔扌山冂乂・AJKW・CJK-F〕
𭠾	〔扌月土・AWHv・CJK-F〕
𭠿	〔扌亻立・AEIi・CJK-F〕
𭡀	〔扌丿虫・AQKv・CJK-F〕
𭡁	〔扌冖冖巾・AYYM・CJK-F〕
𭡂	〔扌片夕・ATRk・CJK-F〕
𭡃	〔扌舌{逆折同乚}・ARXi・CJK-F〕
𭡄	〔扌辛・AOx・CJK-F〕
𭡅	〔扌穴力・APXl・CJK-F〕
𭡆	〔扌广{三點同氵}一・AUIF・CJK-F〕
𭡇	〔手{顺折同乙}キ阝・TVAC・CJK-F〕
𭡈	〔扌彐龰・AXNh・CJK-F〕
𭡉	〔扌土丿𧘇・AHQR・CJK-F〕
𭡊	〔扌土厶阝・AHVC・CJK-F〕
𭡋	〔木夂手・FETu・CJK-F〕
𭡌	〔扌一由丂・AFKS・CJK-F〕
𭡍	〔龵一丰下・TFDA・CJK-F〕
𭡎	〔手日匕匕・TJRR・CJK-F〕
𭡏	〔扌田儿丶・AJQO・CJK-F〕
𭡐	〔扌冂䒑亡・AKUU・CJK-F〕
𭡑	〔扌{逆折同乚}口日・AXLJ・CJK-F〕
𭡒	〔扌口口几・ALLQ・CJK-F〕
𭡓	〔扌斤夂・AEEh・CJK-F〕
𭡔	〔扌冖厂巴・AYSC・CJK-F〕
𭡕	〔扌斤辶・AEPo・CJK-F〕
𭡖	〔扌人亠𧘇・ATOR・CJK-F〕
𭡗	〔扌夂卜口・AEML・CJK-F〕
𭡘	〔扌八刀贝・ATBK・CJK-F〕
𭡙	〔手户月・TIWv・CJK-F〕
𭡚	〔扌氵土厶・AIHV・CJK-F〕
𭡛	〔扌亠乂儿・AOWQ・CJK-F〕
𭡜	〔扌宀申・AOKe・CJK-F〕
𭡝	〔扌凵了二・AXVS・CJK-F〕
𭡞	〔扌土土寸・AHHA・CJK-F〕
𭡟	〔扌土厶𧘇・AHVR・CJK-F〕
𭡠	〔扌木示・AFHs・CJK-F〕
𭡡	〔扌龶母・AHBm・CJK-F〕
𭡢	〔扌大口卄・AGLS・CJK-F〕
𭡣	〔日目手・JMTu・CJK-F〕
𭡤	〔手貝刂・TMMd・CJK-F〕
𭡥	〔扌罒方・AMOg・CJK-F〕
𭡦	〔扌日生・AJWg・CJK-F〕
𭡧	〔扌日卯・AJTa・CJK-F〕
𭡨	〔扌田匕匕・AJRR・CJK-F〕
𭡩	〔扌亻言・AEUa・CJK-F〕
𭡪	〔扌{丿一同竹}日夂・AQJE・CJK-F〕
𭡫	〔扌犭虫・ARKv・CJK-F〕
𭡬	〔扌亦大・APGd・CJK-F〕
𭡭	〔扌氵舌・AIRe・CJK-F〕
𭡮	〔扌{两点同二}十申・ASDK・CJK-F〕
𭡯	〔扌爿夂{两点同二}・AXES・CJK-F〕
𭡰	〔手彐厶儿・TXVQ・CJK-F〕
𭡱	〔扌尸羊・ABUg・CJK-F〕
𭡲	〔扌{丆同石}目夂・ADME・CJK-F〕
𭡳	〔扌走己・ADBj・CJK-F〕
𭡴	〔扌七丿皿・AAQM・CJK-F〕
𭡵	〔扌丌䒑心・AAUY・CJK-F〕
𭡶	〔扌艹早・ASJo・CJK-F〕
𭡷	〔扌艹戊丶・ASDO・CJK-F〕
𭡸	〔扌卜日龰・AMJN・CJK-F〕
𭡹	〔扌日一甲・AJFK・CJK-F〕
𭡺	〔扌冂䒑刂・AKUM・CJK-F〕
𭡻	〔手竹夭・TQEo・CJK-F〕
𭡼	〔手卯田・TTJt・CJK-F〕
𭡽	〔扌禾丬匕・ARUR・CJK-F〕
𭡾	〔扌气米・AQPm・CJK-F〕
𭡿	〔扌舌𧘇・ARRy・CJK-F〕
𭢀	〔扌宀女木・AOCF・CJK-F〕
𭢁	〔扌米辶・APPo・CJK-F〕
𭢂	〔扌广人土・AUTH・CJK-F〕
𭢃	〔扌氵小女・AIMC・CJK-F〕
𭢄	〔扌刀刀月・ABBW・CJK-F〕
𭢅	〔〢一一手・NFFT・CJK-F〕
𭢆	〔扌{丿一同竹}口𧘇・AQLR・CJK-F〕
𭢇	〔手十早乙・TDJV・CJK-F〕
𭢈	〔扌耂匕且・AHRM・CJK-F〕
𭢉	〔扌{虎头同虎}亻工・AMEF・CJK-F〕
𭢊	〔手夂丰辶・TEDP・CJK-F〕
𭢋	〔扌舟皿・AQMn・CJK-F〕
𭢌	〔扌亻丨朩・AENF・CJK-F〕
𭢍	〔扌禾刂木・ARMF・CJK-F〕
𭢎	〔扌亻丨月・AENW・CJK-F〕
𭢏	〔扌丷夫示・AUGH・CJK-F〕
𭢐	〔扌𡗗丷手・AGUT・CJK-F〕
𭢑	〔手羊目・TUMu・CJK-F〕
𭢒	〔扌言{丿一同竹}十・AUQD・CJK-F〕
𭢓	〔扌立早・AIJo・CJK-F〕
𭢔	〔扌亠丁𧘇・AOAR・CJK-F〕
𭢕	〔扌䒑土皿・AUHM・CJK-F〕
𭢖	〔扌言夂・AUEh・CJK-F〕
𭢗	〔扌夫夫日・AGGJ・CJK-F〕
𭢘	〔扌其月・ADWv・CJK-F〕
𭢙	〔扌十罒心・ADMY・CJK-F〕
𭢚	〔扌十戈𧘇・ADGR・CJK-F〕
𭢛	〔扌而而・ASSr・CJK-F〕
𭢜	〔扌隹辶・AWPo・CJK-F〕
𭢝	〔扌月龷日・AWSJ・CJK-F〕
𭢞	〔扌䒑〢日・AUNJ・CJK-F〕
𭢟	〔扌亠夕𧘇・AORR・CJK-F〕
𭢠	〔扌亠冂木・AOKF・CJK-F〕
𭢡	〔扌彐水辶・AXKP・CJK-F〕
𭢢	〔扌羽人丶・AXTO・CJK-F〕
𭢣	〔扌歹{𠂆同斤}目・ADEM・CJK-F〕
𭢤	〔扌覀貝・ADMb・CJK-F〕
𭢥	〔扌艹氵口・ASIL・CJK-F〕
𭢦	〔扌艹{登上同又}大・ASBG・CJK-F〕
𭢧	〔扌艹厂二・ASSS・CJK-F〕
𭢨	〔扌亻龷用・AEST・CJK-F〕
𭢩	〔豸艮手・YVTu・CJK-F〕
𭢪	〔扌竹言・AQUa・CJK-F〕
𭢫	〔扌白二木・AESF・CJK-F〕
𭢬	〔扌户冊辶・AINP・CJK-F〕
𭢭	〔扌立朩斤・AIFE・CJK-F〕
𭢮	〔扌广木厶・AUFV・CJK-F〕
𭢯	〔扌亠八𧘇・AOTR・CJK-F〕
𭢰	〔扌丂口虫・ASLK・CJK-F〕
𭢱	〔女又手电・CBTK・CJK-F〕
